epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,303.688,0.46282,0.56654,0.93987,0.41829,0.4397,0.47335,0.43227,0.34104,0.56234,0.81873,0.000990365,0.000990365,0.000990365
43,309.09,0.43653,0.5383,0.91616,0.90844,0.46012,0.50932,0.44641,0.33642,0.51177,0.82075,0.000973861,0.000973861,0.000973861
44,314.421,0.42353,0.49998,0.91033,0.58969,0.69367,0.59325,0.46542,0.33188,0.48669,0.81066,0.000957358,0.000957358,0.000957358
45,319.437,0.41303,0.51856,0.90831,0.41932,0.46232,0.46759,0.43746,0.33342,0.49745,0.8289,0.000940855,0.000940855,0.000940855
46,324.821,0.44454,0.48702,0.92972,0.43468,0.42868,0.46712,0.44397,0.32275,0.49531,0.82219,0.000924352,0.000924352,0.000924352
47,330.285,0.43142,0.4958,0.92201,0.94266,0.42629,0.47144,0.44948,0.32008,0.48691,0.82901,0.000907848,0.000907848,0.000907848
48,335.598,0.44279,0.51273,0.93512,0.41612,0.44132,0.50751,0.45535,0.30911,0.57288,0.82239,0.000891345,0.000891345,0.000891345
49,341.036,0.43013,0.49792,0.91694,0.43633,0.44144,0.5118,0.45291,0.28501,0.46771,0.8071,0.000874842,0.000874842,0.000874842
50,346.444,0.41261,0.51028,0.91323,0.42081,0.44009,0.49266,0.44756,0.31479,0.48018,0.81624,0.000858338,0.000858338,0.000858338
51,351.55,0.4277,0.48008,0.92328,0.43144,0.43558,0.46645,0.45194,0.29557,0.48967,0.81354,0.000841835,0.000841835,0.000841835
52,356.969,0.42068,0.48077,0.91919,0.41288,0.43611,0.47244,0.44527,0.32067,0.63911,0.83095,0.000825332,0.000825332,0.000825332
53,362.206,0.39838,0.48051,0.91408,0.41823,0.45497,0.47506,0.44706,0.30314,0.50308,0.81587,0.000808828,0.000808828,0.000808828
54,367.52,0.41407,0.4749,0.9093,0.45432,0.42712,0.53099,0.49227,0.26086,0.46061,0.78701,0.000792325,0.000792325,0.000792325
55,372.83,0.39772,0.47296,0.91105,0.44785,0.44785,0.48787,0.45829,0.26824,0.49913,0.79216,0.000775822,0.000775822,0.000775822
56,378.22,0.38354,0.45008,0.90954,0.41107,0.45376,0.54171,0.47024,0.29639,0.52673,0.80603,0.000759318,0.000759318,0.000759318
57,383.636,0.3803,0.44503,0.90872,0.60301,0.71933,0.5843,0.48851,0.27491,0.47707,0.79482,0.000742815,0.000742815,0.000742815
58,389.098,0.382,0.46908,0.91179,0.65244,0.67829,0.57407,0.4743,0.30606,0.59056,0.8118,0.000726312,0.000726312,0.000726312
59,394.341,0.38107,0.43974,0.91041,0.60174,0.69132,0.58584,0.52093,0.27537,0.46958,0.79976,0.000709809,0.000709809,0.000709809
